dataset,model,metric,value
traffic,tsfm_pretrained,MCS_in,0.9902912621359224
traffic,tsfm_pretrained,MCS_ood,0.9805825242718448
traffic,tsfm_pretrained,PDS_in_spearman,0.0005381540218776
traffic,tsfm_pretrained,PDS_ood_spearman,-0.0775271273557967
traffic,tsfm_pretrained,PDS_in_pvalue,0.9956954248460236
traffic,tsfm_pretrained,PDS_ood_pvalue,0.4363423832943105
traffic,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5254524886877828
traffic,tsfm_pretrained,CSS_layer0_seasonality_margin,0.519437642253799
traffic,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.3114754098360656
traffic,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.5731523378582202
traffic,tsfm_pretrained,CSS_layer0_trend_margin,0.50888132434718
traffic,tsfm_pretrained,CSS_layer0_trend_pvalue,0.0491803278688524
traffic,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.5823906485671191
traffic,tsfm_pretrained,CSS_layer0_volatility_margin,0.5142127591737683
traffic,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.0655737704918032
traffic,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.7950603318250378
traffic,tsfm_pretrained,CSS_layer12_seasonality_margin,0.6505477871936693
traffic,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.0163934426229508
traffic,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.5822021116138764
traffic,tsfm_pretrained,CSS_layer12_trend_margin,0.6018387066406995
traffic,tsfm_pretrained,CSS_layer12_trend_pvalue,0.0655737704918032
traffic,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7185143288084465
traffic,tsfm_pretrained,CSS_layer12_volatility_margin,0.6282258388155806
traffic,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.0163934426229508
traffic,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.767156862745098
traffic,tsfm_pretrained,CSS_layer25_seasonality_margin,0.6977159906574057
traffic,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0163934426229508
traffic,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.5718325791855203
traffic,tsfm_pretrained,CSS_layer25_trend_margin,0.5848842510103741
traffic,tsfm_pretrained,CSS_layer25_trend_pvalue,0.1311475409836065
traffic,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.6495098039215687
traffic,tsfm_pretrained,CSS_layer25_volatility_margin,0.6819370632088788
traffic,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.0163934426229508
traffic,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.7479260935143288
traffic,tsfm_pretrained,CSS_layer50_seasonality_margin,0.7663639250369101
traffic,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.0163934426229508
traffic,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5835218702865762
traffic,tsfm_pretrained,CSS_layer50_trend_margin,0.6357200406374386
traffic,tsfm_pretrained,CSS_layer50_trend_pvalue,0.081967213114754
traffic,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.7088989441930618
traffic,tsfm_pretrained,CSS_layer50_volatility_margin,0.6879912291144352
traffic,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.0163934426229508
traffic,tsfm_pretrained,FSS_baseline_cmp,-0.107075819963346
traffic,tsfm_pretrained,PDS_baseline_cmp,0.0005381540218776
traffic,tsfm_pretrained,LTC_step_baseline_cmp,3.8709237575531006
