dataset,model,metric,value
csi800,tsfm_pretrained,MCS_in,1.0
csi800,tsfm_pretrained,MCS_ood,1.0
csi800,tsfm_pretrained,PDS_in_spearman,-0.09361683433642314
csi800,tsfm_pretrained,PDS_ood_spearman,-0.12795984712032685
csi800,tsfm_pretrained,PDS_in_pvalue,0.346920394345136
csi800,tsfm_pretrained,PDS_ood_pvalue,0.19770977205027457
csi800,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.572209653092006
csi800,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5122630942641896
csi800,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.0891089108910891
csi800,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.4956636500754148
csi800,tsfm_pretrained,CSS_layer0_trend_margin,0.5129351038060769
csi800,tsfm_pretrained,CSS_layer0_trend_pvalue,0.5445544554455446
csi800,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.5241327300150829
csi800,tsfm_pretrained,CSS_layer0_volatility_margin,0.5042702614032364
csi800,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.3564356435643564
csi800,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.6894796380090498
csi800,tsfm_pretrained,CSS_layer12_seasonality_margin,0.608039601466168
csi800,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.009900990099009901
csi800,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.5437405731523379
csi800,tsfm_pretrained,CSS_layer12_trend_margin,0.5628292462778777
csi800,tsfm_pretrained,CSS_layer12_trend_pvalue,0.18811881188118812
csi800,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7469834087481146
csi800,tsfm_pretrained,CSS_layer12_volatility_margin,0.5757898414446803
csi800,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.009900990099009901
csi800,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.728318250377074
csi800,tsfm_pretrained,CSS_layer25_seasonality_margin,0.5980189398481404
csi800,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.009900990099009901
csi800,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.5343137254901961
csi800,tsfm_pretrained,CSS_layer25_trend_margin,0.5529722758416812
csi800,tsfm_pretrained,CSS_layer25_trend_pvalue,0.2376237623762376
csi800,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.698340874811463
csi800,tsfm_pretrained,CSS_layer25_volatility_margin,0.6019667037111424
csi800,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.009900990099009901
csi800,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.6885369532428356
csi800,tsfm_pretrained,CSS_layer50_seasonality_margin,0.6509799913874479
csi800,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.009900990099009901
csi800,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5725867269984917
csi800,tsfm_pretrained,CSS_layer50_trend_margin,0.62845295709631
csi800,tsfm_pretrained,CSS_layer50_trend_pvalue,0.0891089108910891
csi800,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.7088989441930618
csi800,tsfm_pretrained,CSS_layer50_volatility_margin,0.6586415671948169
csi800,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.009900990099009901
csi800,tsfm_pretrained,FSS_baseline_cmp,-0.20757906964437828
csi800,tsfm_pretrained,PDS_baseline_cmp,-0.09361683433642314
csi800,tsfm_pretrained,LTC_step_baseline_cmp,4.4000067710876465
csi800,tsfm_pretrained,LTC_dir_baseline_cmp,-0.39662906527519226
csi800,tsfm_pretrained,FSS_baseline_cmp_pvalue,3.169280987336317e-52
csi800,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.346920394345136
csi800,lstm,FSS_baseline_cmp,-0.7900812549720383
csi800,lstm,PDS_baseline_cmp,-0.06640161665861266
csi800,lstm,LTC_step_baseline_cmp,0.07233753800392151
csi800,lstm,LTC_dir_baseline_cmp,-0.393703430891037
csi800,lstm,FSS_baseline_cmp_pvalue,0.0
csi800,lstm,PDS_baseline_cmp_pvalue,0.5051462626728818
csi800,tcn,FSS_baseline_cmp,-0.6211992491283129
csi800,tcn,PDS_baseline_cmp,-0.6770636559328735
csi800,tcn,LTC_step_baseline_cmp,0.45012813806533813
csi800,tcn,LTC_dir_baseline_cmp,-0.42376217246055603
csi800,tcn,FSS_baseline_cmp_pvalue,0.0
csi800,tcn,PDS_baseline_cmp_pvalue,4.105658564993912e-15
csi800,transformer,FSS_baseline_cmp,-0.5817595182416297
csi800,transformer,PDS_baseline_cmp,-0.47714492817291226
csi800,transformer,LTC_step_baseline_cmp,7.428196430206299
csi800,transformer,LTC_dir_baseline_cmp,-0.30959445238113403
csi800,transformer,FSS_baseline_cmp_pvalue,0.0
csi800,transformer,PDS_baseline_cmp_pvalue,3.474377917668781e-07
