dataset,model,metric,value
csi800,tsfm_pretrained,MCS_in,1.0
csi800,tsfm_pretrained,MCS_ood,1.0
csi800,tsfm_pretrained,PDS_in_spearman,-0.0936168343364231
csi800,tsfm_pretrained,PDS_ood_spearman,-0.1279598471203268
csi800,tsfm_pretrained,PDS_in_pvalue,0.346920394345136
csi800,tsfm_pretrained,PDS_ood_pvalue,0.1977097720502745
csi800,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.572209653092006
csi800,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5122630942641896
csi800,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.0891089108910891
csi800,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.4956636500754148
csi800,tsfm_pretrained,CSS_layer0_trend_margin,0.5129351038060769
csi800,tsfm_pretrained,CSS_layer0_trend_pvalue,0.5445544554455446
csi800,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.5241327300150829
csi800,tsfm_pretrained,CSS_layer0_volatility_margin,0.5042702614032364
csi800,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.3564356435643564
csi800,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.6894796380090498
csi800,tsfm_pretrained,CSS_layer12_seasonality_margin,0.608039601466168
csi800,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.0099009900990099
csi800,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.5437405731523379
csi800,tsfm_pretrained,CSS_layer12_trend_margin,0.5628292462778777
csi800,tsfm_pretrained,CSS_layer12_trend_pvalue,0.1881188118811881
csi800,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7469834087481146
csi800,tsfm_pretrained,CSS_layer12_volatility_margin,0.5757898414446803
csi800,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.0099009900990099
csi800,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.728318250377074
csi800,tsfm_pretrained,CSS_layer25_seasonality_margin,0.5980189398481404
csi800,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0099009900990099
csi800,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.5343137254901961
csi800,tsfm_pretrained,CSS_layer25_trend_margin,0.5529722758416812
csi800,tsfm_pretrained,CSS_layer25_trend_pvalue,0.2376237623762376
csi800,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.698340874811463
csi800,tsfm_pretrained,CSS_layer25_volatility_margin,0.6019667037111424
csi800,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.0099009900990099
csi800,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.6885369532428356
csi800,tsfm_pretrained,CSS_layer50_seasonality_margin,0.6509799913874479
csi800,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.0099009900990099
csi800,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5725867269984917
csi800,tsfm_pretrained,CSS_layer50_trend_margin,0.62845295709631
csi800,tsfm_pretrained,CSS_layer50_trend_pvalue,0.0891089108910891
csi800,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.7088989441930618
csi800,tsfm_pretrained,CSS_layer50_volatility_margin,0.6586415671948169
csi800,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.0099009900990099
csi800,tsfm_pretrained,FSS_baseline_cmp,-0.2075790696443782
csi800,tsfm_pretrained,PDS_baseline_cmp,-0.0936168343364231
csi800,tsfm_pretrained,LTC_step_baseline_cmp,4.400006771087647
