dataset,model,metric,value
ett,tsfm_pretrained,MCS_in,1.0
ett,tsfm_pretrained,MCS_ood,1.0
ett,tsfm_pretrained,PDS_in_spearman,0.0478737424768264
ett,tsfm_pretrained,PDS_ood_spearman,-0.0247660677415103
ett,tsfm_pretrained,PDS_in_pvalue,0.6310771479431099
ett,tsfm_pretrained,PDS_ood_pvalue,0.8038878247059653
ett,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.5829562594268476
ett,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5176464863620653
ett,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.0491803278688524
ett,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.4849170437405731
ett,tsfm_pretrained,CSS_layer0_trend_margin,0.5078168924149745
ett,tsfm_pretrained,CSS_layer0_trend_pvalue,0.6065573770491803
ett,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.6021870286576169
ett,tsfm_pretrained,CSS_layer0_volatility_margin,0.51689747059983
ett,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.0491803278688524
ett,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.7581070889894419
ett,tsfm_pretrained,CSS_layer12_seasonality_margin,0.6499136231658685
ett,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.0163934426229508
ett,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.6304675716440422
ett,tsfm_pretrained,CSS_layer12_trend_margin,0.5517102621445912
ett,tsfm_pretrained,CSS_layer12_trend_pvalue,0.0163934426229508
ett,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7673453996983408
ett,tsfm_pretrained,CSS_layer12_volatility_margin,0.6409947682777534
ett,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.0163934426229508
ett,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.7383107088989442
ett,tsfm_pretrained,CSS_layer25_seasonality_margin,0.678784509203237
ett,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0163934426229508
ett,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.7285067873303167
