dataset,model,metric,value
electricity,tsfm_pretrained,MCS_in,1.0
electricity,tsfm_pretrained,MCS_ood,1.0
electricity,tsfm_pretrained,PDS_in_spearman,0.0834248561261696
electricity,tsfm_pretrained,PDS_ood_spearman,0.0106642358212889
electricity,tsfm_pretrained,PDS_in_pvalue,0.4021437992933299
electricity,tsfm_pretrained,PDS_ood_pvalue,0.914858526980383
electricity,tsfm_pretrained,CSS_layer0_seasonality_bal_acc,0.4958521870286576
electricity,tsfm_pretrained,CSS_layer0_seasonality_margin,0.5051545315688418
electricity,tsfm_pretrained,CSS_layer0_seasonality_pvalue,0.4098360655737705
electricity,tsfm_pretrained,CSS_layer0_trend_bal_acc,0.5739064856711915
electricity,tsfm_pretrained,CSS_layer0_trend_margin,0.5094657132024726
electricity,tsfm_pretrained,CSS_layer0_trend_pvalue,0.0491803278688524
electricity,tsfm_pretrained,CSS_layer0_volatility_bal_acc,0.3974358974358974
electricity,tsfm_pretrained,CSS_layer0_volatility_margin,0.5114364049358103
electricity,tsfm_pretrained,CSS_layer0_volatility_pvalue,0.9836065573770492
electricity,tsfm_pretrained,CSS_layer12_seasonality_bal_acc,0.7565987933634992
electricity,tsfm_pretrained,CSS_layer12_seasonality_margin,0.7117808139770564
electricity,tsfm_pretrained,CSS_layer12_seasonality_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer12_trend_bal_acc,0.5727752639517345
electricity,tsfm_pretrained,CSS_layer12_trend_margin,0.5554043713819913
electricity,tsfm_pretrained,CSS_layer12_trend_pvalue,0.0983606557377049
electricity,tsfm_pretrained,CSS_layer12_volatility_bal_acc,0.7481146304675717
electricity,tsfm_pretrained,CSS_layer12_volatility_margin,0.6544543742672728
electricity,tsfm_pretrained,CSS_layer12_volatility_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer25_seasonality_bal_acc,0.8644419306184012
electricity,tsfm_pretrained,CSS_layer25_seasonality_margin,0.7568616843014381
electricity,tsfm_pretrained,CSS_layer25_seasonality_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer25_trend_bal_acc,0.4660633484162896
electricity,tsfm_pretrained,CSS_layer25_trend_margin,0.58150942101294
electricity,tsfm_pretrained,CSS_layer25_trend_pvalue,0.7704918032786885
electricity,tsfm_pretrained,CSS_layer25_volatility_bal_acc,0.767156862745098
electricity,tsfm_pretrained,CSS_layer25_volatility_margin,0.6981839769525128
electricity,tsfm_pretrained,CSS_layer25_volatility_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer50_seasonality_bal_acc,0.816553544494721
electricity,tsfm_pretrained,CSS_layer50_seasonality_margin,0.8038160498734391
electricity,tsfm_pretrained,CSS_layer50_seasonality_pvalue,0.0163934426229508
electricity,tsfm_pretrained,CSS_layer50_trend_bal_acc,0.5729638009049773
electricity,tsfm_pretrained,CSS_layer50_trend_margin,0.6434051605826856
electricity,tsfm_pretrained,CSS_layer50_trend_pvalue,0.081967213114754
electricity,tsfm_pretrained,CSS_layer50_volatility_bal_acc,0.7963800904977376
electricity,tsfm_pretrained,CSS_layer50_volatility_margin,0.7421394301906721
electricity,tsfm_pretrained,CSS_layer50_volatility_pvalue,0.0163934426229508
electricity,tsfm_pretrained,FSS_baseline_cmp,-0.1121811720876777
electricity,tsfm_pretrained,PDS_baseline_cmp,0.0834248561261696
electricity,tsfm_pretrained,LTC_step_baseline_cmp,4.414645195007324
electricity,tsfm_pretrained,LTC_dir_baseline_cmp,-0.6494703888893127
electricity,tsfm_pretrained,FSS_baseline_cmp_pvalue,3.5081446729388027e-16
electricity,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.4021437992933299
electricity,lstm,FSS_baseline_cmp,-0.9017447952511878
electricity,lstm,PDS_baseline_cmp,-0.2765013398936871
electricity,lstm,LTC_step_baseline_cmp,0.1848092973232269
electricity,lstm,LTC_dir_baseline_cmp,-0.7842364311218262
electricity,lstm,FSS_baseline_cmp_pvalue,0.0
electricity,lstm,PDS_baseline_cmp_pvalue,0.0046945913870587
electricity,tcn,FSS_baseline_cmp,-0.9861935438708468
electricity,tcn,PDS_baseline_cmp,-0.3275490928260773
electricity,tcn,LTC_step_baseline_cmp,2.337290048599243
electricity,tcn,LTC_dir_baseline_cmp,-0.600290060043335
electricity,tcn,FSS_baseline_cmp_pvalue,0.0
electricity,tcn,PDS_baseline_cmp_pvalue,0.000731838352014
electricity,transformer,FSS_baseline_cmp,-0.9819020152681052
electricity,transformer,PDS_baseline_cmp,-0.1165487853094934
electricity,transformer,LTC_step_baseline_cmp,9.918231010437012
electricity,transformer,LTC_dir_baseline_cmp,-0.5107766389846802
electricity,transformer,FSS_baseline_cmp_pvalue,0.0
electricity,transformer,PDS_baseline_cmp_pvalue,0.2410341922339637
electricity,lstm_random-reset,FSS_baseline_cmp,-0.9516620735081999
electricity,lstm_random-reset,PDS_baseline_cmp,-0.23562795130615605
electricity,lstm_random-reset,LTC_step_baseline_cmp,0.002114988397806883
electricity,lstm_random-reset,LTC_dir_baseline_cmp,0.0
electricity,lstm_random-reset,FSS_baseline_cmp_pvalue,0.0
electricity,lstm_random-reset,PDS_baseline_cmp_pvalue,0.0926460030461241
electricity,tcn_random-reset,FSS_baseline_cmp,-0.6008819561488644
electricity,tcn_random-reset,PDS_baseline_cmp,-0.1304423168565611
electricity,tcn_random-reset,LTC_step_baseline_cmp,0.05198819190263748
electricity,tcn_random-reset,LTC_dir_baseline_cmp,0.0
electricity,tcn_random-reset,FSS_baseline_cmp_pvalue,5.97739696880305e-131
electricity,tcn_random-reset,PDS_baseline_cmp_pvalue,0.3566780364894576
electricity,transformer_random-reset,FSS_baseline_cmp,-0.9974814219179681
electricity,transformer_random-reset,PDS_baseline_cmp,-0.18450807953905474
electricity,transformer_random-reset,LTC_step_baseline_cmp,0.7872374057769775
electricity,transformer_random-reset,LTC_dir_baseline_cmp,0.0
electricity,transformer_random-reset,FSS_baseline_cmp_pvalue,0.0
electricity,transformer_random-reset,PDS_baseline_cmp_pvalue,0.19038584764123573
